"","dteday","TMAX","PRCP","AWND","season","day_of_week","mnth_date","day","cnt"
"422",2012-03-14,267,0,22,"1","Wednesday","14_3",14,6312
"423",2012-03-15,289,0,21,"1","Thursday","15_3",15,6192
"424",2012-03-16,167,5,12,"1","Friday","16_3",16,4378
"425",2012-03-17,239,0,19,"1","Saturday","17_3",17,7836
"426",2012-03-18,200,0,24,"1","Sunday","18_3",18,5892
"427",2012-03-19,244,3,24,"1","Monday","19_3",19,6153
"428",2012-03-20,233,0,16,"1","Tuesday","20_3",20,6093
"429",2012-03-21,194,0,11,"2","Wednesday","21_3",21,6230
"430",2012-03-22,267,0,13,"2","Thursday","22_3",22,6871
"431",2012-03-23,283,0,18,"2","Friday","23_3",23,8362
"432",2012-03-24,189,99,32,"2","Saturday","24_3",24,3372
"433",2012-03-25,172,46,36,"2","Sunday","25_3",25,4996
"434",2012-03-26,156,0,77,"2","Monday","26_3",26,5558
"435",2012-03-27,133,0,26,"2","Tuesday","27_3",27,5102
"436",2012-03-28,228,8,48,"2","Wednesday","28_3",28,5698
"437",2012-03-29,194,0,47,"2","Thursday","29_3",29,6133
"438",2012-03-30,128,0,14,"2","Friday","30_3",30,5459
"439",2012-03-31,189,0,34,"2","Saturday","31_3",31,6235
"440",2012-04-01,172,30,25,"2","Sunday","1_4",1,6041
"441",2012-04-02,161,13,52,"2","Monday","2_4",2,5936
"442",2012-04-03,222,0,10,"2","Tuesday","3_4",3,6772
"443",2012-04-04,250,0,27,"2","Wednesday","4_4",4,6436
"444",2012-04-05,161,0,23,"2","Thursday","5_4",5,6457
"445",2012-04-06,161,0,47,"2","Friday","6_4",6,6460
"446",2012-04-07,183,0,39,"2","Saturday","7_4",7,6857
"447",2012-04-08,222,0,46,"2","Sunday","8_4",8,5169
"448",2012-04-09,189,0,70,"2","Monday","9_4",9,5585
"449",2012-04-10,189,0,54,"2","Tuesday","10_4",10,5918
"450",2012-04-11,117,0,49,"2","Wednesday","11_4",11,4862
"451",2012-04-12,161,0,39,"2","Thursday","12_4",12,5409
"452",2012-04-13,183,0,18,"2","Friday","13_4",13,6398
"453",2012-04-14,233,0,24,"2","Saturday","14_4",14,7460
"454",2012-04-15,283,0,35,"2","Sunday","15_4",15,7132
"455",2012-04-16,311,0,43,"2","Monday","16_4",16,6370
"456",2012-04-17,233,0,42,"2","Tuesday","17_4",17,6691
"457",2012-04-18,144,61,17,"2","Wednesday","18_4",18,4367
"458",2012-04-19,211,0,9,"2","Thursday","19_4",19,6565
"459",2012-04-20,217,0,22,"2","Friday","20_4",20,7290
"460",2012-04-21,272,58,41,"2","Saturday","21_4",21,6624
"461",2012-04-22,122,244,60,"2","Sunday","22_4",22,1027
"462",2012-04-23,83,3,62,"2","Monday","23_4",23,3214
"463",2012-04-24,172,0,34,"2","Tuesday","24_4",24,5633
"464",2012-04-25,206,0,19,"2","Wednesday","25_4",25,6196
"465",2012-04-26,189,0,31,"2","Thursday","26_4",26,5026
"466",2012-04-27,167,0,60,"2","Friday","27_4",27,6233
"467",2012-04-28,133,41,14,"2","Saturday","28_4",28,4220
"468",2012-04-29,211,13,16,"2","Sunday","29_4",29,6304
"469",2012-04-30,183,0,29,"2","Monday","30_4",30,5572
"470",2012-05-01,289,23,29,"2","Tuesday","1_5",1,5740
"471",2012-05-02,250,3,23,"2","Wednesday","2_5",2,6169
"472",2012-05-03,289,0,25,"2","Thursday","3_5",3,6421
"473",2012-05-04,289,13,18,"2","Friday","4_5",4,6296
"474",2012-05-05,267,3,28,"2","Saturday","5_5",5,6883
"475",2012-05-06,217,0,22,"2","Sunday","6_5",6,6359
"476",2012-05-07,211,0,41,"2","Monday","7_5",7,6273
"477",2012-05-08,211,23,42,"2","Tuesday","8_5",8,5728
"478",2012-05-09,228,94,26,"2","Wednesday","9_5",9,4717
"479",2012-05-10,189,0,51,"2","Thursday","10_5",10,6572
"480",2012-05-11,228,0,27,"2","Friday","11_5",11,7030
"481",2012-05-12,250,0,11,"2","Saturday","12_5",12,7429
"482",2012-05-13,272,0,33,"2","Sunday","13_5",13,6118
"483",2012-05-14,194,117,28,"2","Monday","14_5",14,2843
"484",2012-05-15,267,173,21,"2","Tuesday","15_5",15,5115
"485",2012-05-16,283,0,21,"2","Wednesday","16_5",16,7424
"486",2012-05-17,228,0,38,"2","Thursday","17_5",17,7384
"487",2012-05-18,239,0,21,"2","Friday","18_5",18,7639
"488",2012-05-19,272,0,13,"2","Saturday","19_5",19,8294
"489",2012-05-20,278,3,40,"2","Sunday","20_5",20,7129
"490",2012-05-21,211,94,27,"2","Monday","21_5",21,4359
"491",2012-05-22,267,112,16,"2","Tuesday","22_5",22,6073
"492",2012-05-23,267,358,12,"2","Wednesday","23_5",23,5260
"493",2012-05-24,272,41,25,"2","Thursday","24_5",24,6770
"494",2012-05-25,294,0,21,"2","Friday","25_5",25,6734
"495",2012-05-26,300,0,24,"2","Saturday","26_5",26,6536
"496",2012-05-27,300,76,36,"2","Sunday","27_5",27,6591
"497",2012-05-28,322,0,26,"2","Monday","28_5",28,6043
"498",2012-05-29,311,236,34,"2","Tuesday","29_5",29,5743
"499",2012-05-30,294,0,14,"2","Wednesday","30_5",30,6855
"500",2012-05-31,278,0,25,"2","Thursday","31_5",31,7338
"501",2012-06-01,267,155,31,"2","Friday","1_6",1,4127
"502",2012-06-02,228,0,30,"2","Saturday","2_6",2,8120
"503",2012-06-03,256,0,29,"2","Sunday","3_6",3,7641
"504",2012-06-04,233,0,51,"2","Monday","4_6",4,6998
"505",2012-06-05,211,0,27,"2","Tuesday","5_6",5,7001
"506",2012-06-06,233,0,17,"2","Wednesday","6_6",6,7055
"507",2012-06-07,261,0,22,"2","Thursday","7_6",7,7494
"508",2012-06-08,283,0,29,"2","Friday","8_6",8,7736
"509",2012-06-09,311,0,22,"2","Saturday","9_6",9,7498
"510",2012-06-10,322,0,14,"2","Sunday","10_6",10,6598
"511",2012-06-11,306,0,27,"2","Monday","11_6",11,6664
"512",2012-06-12,261,152,31,"2","Tuesday","12_6",12,4972
"513",2012-06-13,267,0,50,"2","Wednesday","13_6",13,7421
"514",2012-06-14,272,0,33,"2","Thursday","14_6",14,7363
"515",2012-06-15,267,0,18,"2","Friday","15_6",15,7665
"516",2012-06-16,267,0,14,"2","Saturday","16_6",16,7702
"517",2012-06-17,250,0,22,"2","Sunday","17_6",17,6978
"518",2012-06-18,200,30,26,"2","Monday","18_6",18,5099
"519",2012-06-19,322,0,12,"2","Tuesday","19_6",19,6825
"520",2012-06-20,344,0,17,"2","Wednesday","20_6",20,6211
"521",2012-06-21,356,0,11,"3","Thursday","21_6",21,5905
"522",2012-06-23,306,0,27,"3","Saturday","23_6",23,7458
"523",2012-06-24,322,0,16,"3","Sunday","24_6",24,6891
"524",2012-06-25,300,0,52,"3","Monday","25_6",25,6779
"525",2012-06-26,267,0,46,"3","Tuesday","26_6",26,7442
"526",2012-06-27,306,0,35,"3","Wednesday","27_6",27,7335
"527",2012-06-28,339,0,24,"3","Thursday","28_6",28,6879
"528",2012-06-29,389,97,26,"3","Friday","29_6",29,5463
"529",2012-06-30,344,0,21,"3","Saturday","30_6",30,5687
"530",2012-07-01,356,0,25,"3","Sunday","1_7",1,5531
"531",2012-07-02,333,0,30,"3","Monday","2_7",2,6227
"532",2012-07-03,350,58,21,"3","Tuesday","3_7",3,6660
"533",2012-07-04,356,0,26,"3","Wednesday","4_7",4,7403
"534",2012-07-05,367,0,36,"3","Thursday","5_7",5,6241
"535",2012-07-06,367,0,19,"3","Friday","6_7",6,6207
"536",2012-07-07,383,0,23,"3","Saturday","7_7",7,4840
"537",2012-07-08,383,0,21,"3","Sunday","8_7",8,4672
"538",2012-07-09,294,61,20,"3","Monday","9_7",9,6569
"539",2012-07-10,317,0,17,"3","Tuesday","10_7",10,6290
"540",2012-07-11,317,0,20,"3","Wednesday","11_7",11,7264
"541",2012-07-12,306,0,19,"3","Thursday","12_7",12,7446
"542",2012-07-13,300,0,11,"3","Friday","13_7",13,7499
"543",2012-07-14,306,25,16,"3","Saturday","14_7",14,6969
"544",2012-07-15,350,15,23,"3","Sunday","15_7",15,6031
"545",2012-07-16,356,3,21,"3","Monday","16_7",16,6830
"546",2012-07-17,372,0,23,"3","Tuesday","17_7",17,6786
"547",2012-07-18,383,15,18,"3","Wednesday","18_7",18,5713
"548",2012-07-19,344,259,27,"3","Thursday","19_7",19,6591
"549",2012-07-20,283,145,30,"3","Friday","20_7",20,5870
"550",2012-07-21,206,33,27,"3","Saturday","21_7",21,4459
"551",2012-07-22,289,0,10,"3","Sunday","22_7",22,7410
"552",2012-07-23,317,0,18,"3","Monday","23_7",23,6966
"553",2012-07-24,322,0,34,"3","Tuesday","24_7",24,7592
"554",2012-07-25,300,0,21,"3","Wednesday","25_7",25,8173
"555",2012-07-26,367,0,36,"3","Thursday","26_7",26,6861
"556",2012-07-27,322,0,20,"3","Friday","27_7",27,6904
"557",2012-07-28,333,0,24,"3","Saturday","28_7",28,6685
"558",2012-07-29,317,0,26,"3","Sunday","29_7",29,6597
"559",2012-07-30,317,0,22,"3","Monday","30_7",30,7105
"560",2012-07-31,322,3,28,"3","Tuesday","31_7",31,7216
"561",2012-08-01,311,142,12,"3","Wednesday","1_8",1,7580
"562",2012-08-02,333,0,20,"3","Thursday","2_8",2,7261
"563",2012-08-03,328,0,24,"3","Friday","3_8",3,7175
"564",2012-08-04,344,0,36,"3","Saturday","4_8",4,6824
"565",2012-08-05,344,38,39,"3","Sunday","5_8",5,5464
"566",2012-08-06,322,0,13,"3","Monday","6_8",6,7013
"567",2012-08-07,317,0,14,"3","Tuesday","7_8",7,7273
"568",2012-08-08,317,3,19,"3","Wednesday","8_8",8,7534
"569",2012-08-09,344,18,23,"3","Thursday","9_8",9,7286
"570",2012-08-10,300,140,35,"3","Friday","10_8",10,5786
"571",2012-08-11,311,66,24,"3","Saturday","11_8",11,6299
"572",2012-08-12,294,0,24,"3","Sunday","12_8",12,6544
"573",2012-08-13,311,0,13,"3","Monday","13_8",13,6883
"574",2012-08-14,311,33,20,"3","Tuesday","14_8",14,6784
"575",2012-08-15,289,0,27,"3","Wednesday","15_8",15,7347
"576",2012-08-16,306,0,26,"3","Thursday","16_8",16,7605
"577",2012-08-17,339,81,29,"3","Friday","17_8",17,7148
"578",2012-08-18,289,0,26,"3","Saturday","18_8",18,7865
"579",2012-08-19,244,81,16,"3","Sunday","19_8",19,4549
"580",2012-08-20,267,51,15,"3","Monday","20_8",20,6530
"581",2012-08-21,283,0,13,"3","Tuesday","21_8",21,7006
"582",2012-08-22,294,0,16,"3","Wednesday","22_8",22,7375
"583",2012-08-23,306,0,14,"3","Thursday","23_8",23,7765
"584",2012-08-24,306,0,13,"3","Friday","24_8",24,7582
"585",2012-08-25,261,30,35,"3","Saturday","25_8",25,6053
"586",2012-08-26,278,81,38,"3","Sunday","26_8",26,5255
"587",2012-08-27,311,0,19,"3","Monday","27_8",27,6917
"588",2012-08-28,317,3,30,"3","Tuesday","28_8",28,7040
"589",2012-08-29,294,0,15,"3","Wednesday","29_8",29,7697
"590",2012-08-30,317,0,14,"3","Thursday","30_8",30,7713
"591",2012-08-31,350,0,20,"3","Friday","31_8",31,7350
"592",2012-09-01,333,0,21,"3","Saturday","1_9",1,6140
"593",2012-09-02,283,99,13,"3","Sunday","2_9",2,5810
"594",2012-09-03,289,0,24,"3","Monday","3_9",3,6034
"595",2012-09-04,311,5,40,"3","Tuesday","4_9",4,6864
"596",2012-09-05,328,0,26,"3","Wednesday","5_9",5,7112
"597",2012-09-06,300,8,23,"3","Thursday","6_9",6,6203
"598",2012-09-07,328,0,23,"3","Friday","7_9",7,7504
"599",2012-09-08,328,41,40,"3","Saturday","8_9",8,5976
"600",2012-09-09,261,0,31,"3","Sunday","9_9",9,8227
"601",2012-09-10,244,0,37,"3","Monday","10_9",10,7525
"602",2012-09-11,256,0,11,"3","Tuesday","11_9",11,7767
"603",2012-09-12,272,0,16,"3","Wednesday","12_9",12,7870
"604",2012-09-13,278,0,13,"3","Thursday","13_9",13,7804
"605",2012-09-14,278,0,16,"3","Friday","14_9",14,8009
"606",2012-09-15,256,0,38,"3","Saturday","15_9",15,8714
"607",2012-09-16,239,0,11,"3","Sunday","16_9",16,7333
"608",2012-09-17,222,15,19,"3","Monday","17_9",17,6869
"609",2012-09-18,250,297,52,"3","Tuesday","18_9",18,4073
"610",2012-09-19,211,0,33,"3","Wednesday","19_9",19,7591
"611",2012-09-20,239,0,17,"3","Thursday","20_9",20,7720
"612",2012-09-21,261,0,23,"3","Friday","21_9",21,8167
"613",2012-09-22,294,58,44,"3","Saturday","22_9",22,8395
"614",2012-09-23,200,0,30,"4","Sunday","23_9",23,7907
"615",2012-09-24,200,0,22,"4","Monday","24_9",24,7436
"616",2012-09-25,244,0,33,"4","Tuesday","25_9",25,7538
"617",2012-09-26,283,5,36,"4","Wednesday","26_9",26,7733
"618",2012-09-27,289,135,23,"4","Thursday","27_9",27,7393
"619",2012-09-28,250,23,25,"4","Friday","28_9",28,7415
"620",2012-09-29,211,0,26,"4","Saturday","29_9",29,8555
"621",2012-09-30,228,3,23,"4","Sunday","30_9",30,6889
"622",2012-10-01,211,3,12,"4","Monday","1_10",1,6778
"623",2012-10-02,194,597,19,"4","Tuesday","2_10",2,4639
"624",2012-10-03,272,0,8,"4","Wednesday","3_10",3,7572
"625",2012-10-04,267,3,20,"4","Thursday","4_10",4,7328
"626",2012-10-05,272,0,17,"4","Friday","5_10",5,8156
"627",2012-10-06,250,0,50,"4","Saturday","6_10",6,7965
"628",2012-10-07,111,20,13,"4","Sunday","7_10",7,3510
"629",2012-10-08,106,13,25,"4","Monday","8_10",8,5478
"630",2012-10-09,167,8,21,"4","Tuesday","9_10",9,6392
"631",2012-10-10,206,0,29,"4","Wednesday","10_10",10,7691
"632",2012-10-11,161,0,26,"4","Thursday","11_10",11,7570
"633",2012-10-12,178,0,31,"4","Friday","12_10",12,7282
"634",2012-10-14,233,0,48,"4","Sunday","14_10",14,6639
"635",2012-10-15,211,66,45,"4","Monday","15_10",15,5875
"636",2012-10-16,178,0,31,"4","Tuesday","16_10",16,7534
"637",2012-10-17,194,0,19,"4","Wednesday","17_10",17,7461
"638",2012-10-18,217,102,31,"4","Thursday","18_10",18,7509
"639",2012-10-19,222,8,18,"4","Friday","19_10",19,5424
"640",2012-10-20,194,0,19,"4","Saturday","20_10",20,8090
"641",2012-10-21,183,0,28,"4","Sunday","21_10",21,6824
"642",2012-10-22,222,0,12,"4","Monday","22_10",22,7058
"643",2012-10-23,261,0,12,"4","Tuesday","23_10",23,7466
"644",2012-10-24,272,0,6,"4","Wednesday","24_10",24,7693
"645",2012-10-25,211,0,18,"4","Thursday","25_10",25,7359
"646",2012-10-26,206,0,17,"4","Friday","26_10",26,7444
"647",2012-10-27,206,0,30,"4","Saturday","27_10",27,7852
"648",2012-10-28,150,102,54,"4","Sunday","28_10",28,4459
"649",2012-10-29,111,1082,106,"4","Monday","29_10",29,22
"650",2012-10-30,61,254,40,"4","Tuesday","30_10",30,1096
"651",2012-11-01,106,0,23,"4","Thursday","1_11",1,5986
"652",2012-11-02,111,0,51,"4","Friday","2_11",2,5847
"653",2012-11-03,89,0,51,"4","Saturday","3_11",3,5138
"654",2012-11-05,94,0,38,"4","Monday","5_11",5,5259
"655",2012-11-06,83,0,17,"4","Tuesday","6_11",6,5686
"656",2012-11-08,128,0,63,"4","Thursday","8_11",8,5315
"657",2012-11-09,139,0,29,"4","Friday","9_11",9,5992
"658",2012-11-10,189,0,6,"4","Saturday","10_11",10,6536
"659",2012-11-11,211,0,18,"4","Sunday","11_11",11,6852
"660",2012-11-12,211,48,34,"4","Monday","12_11",12,6269
"661",2012-11-13,111,221,51,"4","Tuesday","13_11",13,4094
"662",2012-11-14,78,0,25,"4","Wednesday","14_11",14,5495
"663",2012-11-15,89,0,20,"4","Thursday","15_11",15,5445
"664",2012-11-16,117,0,25,"4","Friday","16_11",16,5698
"665",2012-11-17,128,0,21,"4","Saturday","17_11",17,5629
"666",2012-11-18,117,0,26,"4","Sunday","18_11",18,4669
"667",2012-11-19,117,0,31,"4","Monday","19_11",19,5499
"668",2012-11-20,122,0,14,"4","Tuesday","20_11",20,5634
"669",2012-11-21,133,0,19,"4","Wednesday","21_11",21,5146
"670",2012-11-22,150,0,9,"4","Thursday","22_11",22,2425
"671",2012-11-23,167,0,29,"4","Friday","23_11",23,3910
"672",2012-11-24,78,0,78,"4","Saturday","24_11",24,2277
"673",2012-11-25,50,0,22,"4","Sunday","25_11",25,2424
"674",2012-11-26,128,0,5,"4","Monday","26_11",26,5087
"675",2012-11-28,89,0,28,"4","Wednesday","28_11",28,5260
"676",2012-11-29,94,0,12,"4","Thursday","29_11",29,5323
"677",2012-11-30,122,0,6,"4","Friday","30_11",30,5668
"678",2012-12-01,83,0,13,"4","Saturday","1_12",1,5191
"679",2012-12-02,133,5,13,"4","Sunday","2_12",2,4649
"680",2012-12-03,206,0,10,"4","Monday","3_12",3,6234
"681",2012-12-04,217,0,28,"4","Tuesday","4_12",4,6606
"682",2012-12-05,161,0,60,"4","Wednesday","5_12",5,5729
"683",2012-12-06,72,0,21,"4","Thursday","6_12",6,5375
"684",2012-12-07,106,3,23,"4","Friday","7_12",7,5008
"685",2012-12-08,167,0,13,"4","Saturday","8_12",8,5582
"686",2012-12-09,117,41,19,"4","Sunday","9_12",9,3228
"687",2012-12-10,172,0,41,"4","Monday","10_12",10,5170
"688",2012-12-11,111,3,41,"4","Tuesday","11_12",11,5501
"689",2012-12-12,72,0,27,"4","Wednesday","12_12",12,5319
"690",2012-12-13,94,0,16,"4","Thursday","13_12",13,5532
"691",2012-12-14,117,0,7,"4","Friday","14_12",14,5611
"692",2012-12-15,117,0,15,"4","Saturday","15_12",15,5047
"693",2012-12-16,89,0,19,"4","Sunday","16_12",16,3786
"694",2012-12-17,117,10,21,"4","Monday","17_12",17,4585
"695",2012-12-18,144,0,44,"4","Tuesday","18_12",18,5557
"696",2012-12-19,117,0,30,"4","Wednesday","19_12",19,5267
"697",2012-12-20,111,127,32,"4","Thursday","20_12",20,4128
"698",2012-12-21,128,107,62,"1","Friday","21_12",21,3623
"699",2012-12-22,56,0,96,"1","Saturday","22_12",22,1749
"700",2012-12-23,83,0,15,"1","Sunday","23_12",23,1787
"701",2012-12-24,33,51,8,"1","Monday","24_12",24,920
"702",2012-12-25,83,0,24,"1","Tuesday","25_12",25,1013
"703",2012-12-26,39,358,49,"1","Wednesday","26_12",26,441
"704",2012-12-27,50,3,87,"1","Thursday","27_12",27,2114
"705",2012-12-28,50,0,25,"1","Friday","28_12",28,3095
"706",2012-12-29,56,23,37,"1","Saturday","29_12",29,1341
"707",2012-12-30,44,0,82,"1","Sunday","30_12",30,1796
"708",2012-12-31,22,0,15,"1","Monday","31_12",31,2729
"709",2013-01-01,61,0,13,"1","Tuesday","1_1",1,1964
"710",2013-01-02,33,0,34,"1","Wednesday","2_1",2,3673
"711",2013-01-03,39,0,15,"1","Thursday","3_1",3,3844
"712",2013-01-04,67,0,31,"1","Friday","4_1",4,4078
"713",2013-01-05,72,0,26,"1","Saturday","5_1",5,3517
"714",2013-01-06,106,0,21,"1","Sunday","6_1",6,3751
"715",2013-01-07,72,0,30,"1","Monday","7_1",7,4741
"716",2013-01-08,117,0,19,"1","Tuesday","8_1",8,5274
"717",2013-01-09,100,5,12,"1","Wednesday","9_1",9,5110
"718",2013-01-10,128,0,26,"1","Thursday","10_1",10,5382
"719",2013-01-11,72,5,12,"1","Friday","11_1",11,4094
"720",2013-01-12,122,0,8,"1","Saturday","12_1",12,5573
"721",2013-01-13,139,3,19,"1","Sunday","13_1",13,4114
"722",2013-01-14,150,30,42,"1","Monday","14_1",14,5023
"723",2013-01-15,44,160,30,"1","Tuesday","15_1",15,2897
"724",2013-01-16,50,74,18,"1","Wednesday","16_1",16,3477
"725",2013-01-17,67,0,25,"1","Thursday","17_1",17,4769
"726",2013-01-18,33,0,42,"1","Friday","18_1",18,4472
"727",2013-01-19,133,0,54,"1","Saturday","19_1",19,4918
"728",2013-01-20,144,0,55,"1","Sunday","20_1",20,5699
"729",2013-01-21,89,0,39,"1","Monday","21_1",21,4527
"730",2013-01-22,-17,0,64,"1","Tuesday","22_1",22,2931
"731",2013-01-23,-33,0,25,"1","Wednesday","23_1",23,3184
"732",2013-01-24,-28,13,42,"1","Thursday","24_1",24,2425
"733",2013-01-25,-56,8,17,"1","Friday","25_1",25,2354
"734",2013-01-26,6,0,17,"1","Saturday","26_1",26,2739
"735",2013-01-27,39,0,14,"1","Sunday","27_1",27,2989
"736",2013-01-28,78,53,36,"1","Monday","28_1",28,2712
"737",2013-01-29,211,0,26,"1","Tuesday","29_1",29,5791
"738",2013-01-30,222,508,52,"1","Wednesday","30_1",30,4642
"739",2013-01-31,150,81,75,"1","Thursday","31_1",31,4325
"740",2013-02-01,0,3,62,"1","Friday","1_2",1,3161
"741",2013-02-02,-11,0,25,"1","Saturday","2_2",2,2450
"742",2013-02-03,6,3,19,"1","Sunday","3_2",3,2555
"743",2013-02-04,22,0,43,"1","Monday","4_2",4,3919
"744",2013-02-05,56,0,12,"1","Tuesday","5_2",5,4578
"745",2013-02-06,78,0,39,"1","Wednesday","6_2",6,4871
"746",2013-02-07,39,0,21,"1","Thursday","7_2",7,4438
"747",2013-02-08,56,48,57,"1","Friday","8_2",8,3351
"748",2013-02-09,56,0,72,"1","Saturday","9_2",9,3428
"749",2013-02-10,72,0,27,"1","Sunday","10_2",10,3576
"750",2013-02-11,144,33,45,"1","Monday","11_2",11,4222
"751",2013-02-12,139,0,35,"1","Tuesday","12_2",12,5623
"752",2013-02-13,78,66,23,"1","Wednesday","13_2",13,3533
"753",2013-02-14,100,0,21,"1","Thursday","14_2",14,5117
"754",2013-02-15,144,25,31,"1","Friday","15_2",15,5315
"755",2013-02-16,33,0,36,"1","Saturday","16_2",16,3205
"756",2013-02-17,-6,0,81,"1","Sunday","17_2",17,2487
"757",2013-02-18,61,0,35,"1","Monday","18_2",18,3320
"758",2013-02-19,72,18,55,"1","Tuesday","19_2",19,3932
"759",2013-02-20,39,0,74,"1","Wednesday","20_2",20,4352
"760",2013-02-21,39,0,46,"1","Thursday","21_2",21,4109
"761",2013-02-22,6,15,30,"1","Friday","22_2",22,3526
"762",2013-02-23,61,10,24,"1","Saturday","23_2",23,2547
"763",2013-02-24,106,0,45,"1","Sunday","24_2",24,4325
"764",2013-02-25,83,0,22,"1","Monday","25_2",25,4948
"765",2013-02-26,67,180,39,"1","Tuesday","26_2",26,2742
"766",2013-02-27,128,10,35,"1","Wednesday","27_2",27,5388
"767",2013-02-28,72,3,41,"1","Thursday","28_2",28,5084
"768",2013-03-01,67,0,46,"1","Friday","1_3",1,4886
"769",2013-03-02,28,0,38,"1","Saturday","2_3",2,3707
"770",2013-03-03,56,0,50,"1","Sunday","3_3",3,3048
"771",2013-03-04,61,0,57,"1","Monday","4_3",4,4412
"772",2013-03-05,106,8,28,"1","Tuesday","5_3",5,5181
"773",2013-03-06,33,234,63,"1","Wednesday","6_3",6,1125
"774",2013-03-07,83,0,53,"1","Thursday","7_3",7,5006
"775",2013-03-08,94,0,72,"1","Friday","8_3",8,4835
"776",2013-03-09,156,0,21,"1","Saturday","9_3",9,6768
"777",2013-03-10,167,0,24,"1","Sunday","10_3",10,6764
"778",2013-03-11,150,0,46,"1","Monday","11_3",11,6039
"779",2013-03-12,144,295,57,"1","Tuesday","12_3",12,4245
"780",2013-03-13,100,0,48,"1","Wednesday","13_3",13,5693
"781",2013-03-14,72,0,72,"1","Thursday","14_3",14,4826
"782",2013-03-15,139,0,37,"1","Friday","15_3",15,6330
"783",2013-03-16,161,8,30,"1","Saturday","16_3",16,6168
"784",2013-03-17,44,0,25,"1","Sunday","17_3",17,3942
"785",2013-03-18,28,117,20,"1","Monday","18_3",18,2747
"786",2013-03-19,150,0,50,"1","Tuesday","19_3",19,5942
"787",2013-03-20,111,0,47,"1","Wednesday","20_3",20,5806
"788",2013-03-21,28,0,60,"2","Thursday","21_3",21,4508
"789",2013-03-22,89,0,45,"2","Friday","22_3",22,5407
"790",2013-03-23,122,0,28,"2","Saturday","23_3",23,6479
"791",2013-03-24,56,13,13,"2","Sunday","24_3",24,3857
"792",2013-03-25,39,112,29,"2","Monday","25_3",25,1912
"793",2013-03-26,94,0,46,"2","Tuesday","26_3",26,5583
"794",2013-03-27,94,0,60,"2","Wednesday","27_3",27,5800
"795",2013-03-28,94,0,52,"2","Thursday","28_3",28,5583
"796",2013-03-29,133,0,25,"2","Friday","29_3",29,7384
"797",2013-03-30,156,0,18,"2","Saturday","30_3",30,9598
"798",2013-03-31,106,18,13,"2","Sunday","31_3",31,3785
"799",2013-04-01,178,0,45,"2","Monday","1_4",1,6368
"800",2013-04-02,100,0,50,"2","Tuesday","2_4",2,5902
"801",2013-04-03,111,0,41,"2","Wednesday","3_4",3,6226
"802",2013-04-04,94,41,21,"2","Thursday","4_4",4,5829
"803",2013-04-05,189,25,38,"2","Friday","5_4",5,7589
"804",2013-04-06,139,0,29,"2","Saturday","6_4",6,9271
"805",2013-04-07,217,0,56,"2","Sunday","7_4",7,9762
"806",2013-04-08,272,0,38,"2","Monday","8_4",8,8466
"807",2013-04-09,294,0,33,"2","Tuesday","9_4",9,9750
"808",2013-04-10,317,0,38,"2","Wednesday","10_4",10,9553
"809",2013-04-11,300,0,26,"2","Thursday","11_4",11,9091
"810",2013-04-12,261,142,28,"2","Friday","12_4",12,5997
"811",2013-04-13,211,0,21,"2","Saturday","13_4",13,11267
"812",2013-04-14,194,0,28,"2","Sunday","14_4",14,9604
"813",2013-04-15,178,0,26,"2","Monday","15_4",15,6908
"814",2013-04-16,244,0,43,"2","Tuesday","16_4",16,8247
"815",2013-04-17,250,15,23,"2","Wednesday","17_4",17,8477
"816",2013-04-18,256,23,37,"2","Thursday","18_4",18,7686
"817",2013-04-19,256,305,55,"2","Friday","19_4",19,6118
"818",2013-04-20,156,0,61,"2","Saturday","20_4",20,8793
"819",2013-04-21,128,0,30,"2","Sunday","21_4",21,7330
"820",2013-04-22,133,0,33,"2","Monday","22_4",22,6737
"821",2013-04-23,161,0,17,"2","Tuesday","23_4",23,7434
"822",2013-04-24,256,0,55,"2","Wednesday","24_4",24,8460
"823",2013-04-25,178,0,39,"2","Thursday","25_4",25,8262
"824",2013-04-26,183,0,17,"2","Friday","26_4",26,8996
"825",2013-04-27,211,0,16,"2","Saturday","27_4",27,10820
"826",2013-04-28,172,10,28,"2","Sunday","28_4",28,7851
"827",2013-04-29,161,23,28,"2","Monday","29_4",29,4289
"828",2013-04-30,156,0,28,"2","Tuesday","30_4",30,5359
"829",2013-05-01,211,0,30,"2","Wednesday","1_5",1,8608
"830",2013-05-02,206,0,18,"2","Thursday","2_5",2,8490
"831",2013-05-03,200,0,32,"2","Friday","3_5",3,8655
"832",2013-05-04,200,0,31,"2","Saturday","4_5",4,9472
"833",2013-05-05,172,0,27,"2","Sunday","5_5",5,7986
"834",2013-05-06,167,3,39,"2","Monday","6_5",6,6506
"835",2013-05-07,183,259,46,"2","Tuesday","7_5",7,4419
"836",2013-05-08,200,122,9,"2","Wednesday","8_5",8,6586
"837",2013-05-09,244,0,15,"2","Thursday","9_5",9,7793
"838",2013-05-10,289,97,26,"2","Friday","10_5",10,8870
"839",2013-05-11,250,81,25,"2","Saturday","11_5",11,6455
"840",2013-05-12,178,0,55,"2","Sunday","12_5",12,8010
"841",2013-05-13,161,0,40,"2","Monday","13_5",13,7381
"842",2013-05-14,183,0,17,"2","Tuesday","14_5",14,8061
"843",2013-05-15,294,0,37,"2","Wednesday","15_5",15,8756
